Closure1,Closure2,Closure3,Closure4,Closure5,Closure6,Closure7,Closure8,Closure9,Closure10
2.259848917061135865e+01,4.334747513160420951e+00,2.827575299821415644e+00,1.858283490392567572e+00,9.979779353917259677e-01,7.246506611017483612e-01,2.640224050441776882e+00,8.953766204044039112e-01,1.778865507653760059e+00,4.469631195639249266e-01
2.113929703535033866e+01,4.054851391265170690e+00,2.644997800582067349e+00,1.738293493105820930e+00,9.335381605247656811e-01,6.778597213398774857e-01,2.469743885124274119e+00,8.375618473579918843e-01,1.664003556535757600e+00,4.181025588469906018e-01
2.320731275083498701e+01,4.451529501566966474e+00,2.903752716125330036e+00,1.908347315418647883e+00,1.024864356648573782e+00,7.441734002801325687e-01,2.711354055941122887e+00,9.194988701516153551e-01,1.826789740947838192e+00,4.590047071508824295e-01
2.727960025014291290e+01,5.232658628263437528e+00,3.413286758860767378e+00,2.243213269109800567e+00,1.204701736050292071e+00,8.747567240718637782e-01,3.187127073987324977e+00,1.080847312116808512e+00,2.147344434453151152e+00,5.395482475048505311e-01
2.298817300992286761e+01,4.409495034581945916e+00,2.876333444246828908e+00,1.890327360210515062e+00,1.015186867832986950e+00,7.371463925484765811e-01,2.685751547295713859e+00,9.108163162369334875e-01,1.809539909619658493e+00,4.546704624374842130e-01
2.015986334883048059e+01,3.866980524992003954e+00,2.522448789499585509e+00,1.657754239536554541e+00,8.902851270610354639e-01,6.464528753740443889e-01,2.355314802921490980e+00,7.987556237416431060e-01,1.586906331635868250e+00,3.987308772877553031e-01
2.910696981544898065e+01,5.583177002258844723e+00,3.641931470792413084e+00,2.393478654924627858e+00,1.285400693056385268e+00,9.333537636163633522e-01,3.400622101860283131e+00,1.153249673764126904e+00,2.291187886328092116e+00,5.756907876250791922e-01
2.328118427868708551e+01,4.465699228544409038e+00,2.912995692765835365e+00,1.914421802946608908e+00,1.028126616983479069e+00,7.465421892328134579e-01,2.719984605665289212e+00,9.224257401053086447e-01,1.832604621398548961e+00,4.604657715736611423e-01
1.931627660484793907e+01,3.705167250086490949e+00,2.416897262469016816e+00,1.588385738517671619e+00,8.530312668260617848e-01,6.194021425968018191e-01,2.256756974861327869e+00,7.653318031427279733e-01,1.520502451701451818e+00,3.820460378780679567e-01
2.515422892603245941e+01,4.824978805414421146e+00,3.147355376739045862e+00,2.068443070415079355e+00,1.110842643525871587e+00,8.066038611315280438e-01,2.938815939394609167e+00,9.966377979798524134e-01,1.980043438759455432e+00,4.975116940837698287e-01
2.178741069175337230e+01,4.179169837473154736e+00,2.726091282207617539e+00,1.791588158005719578e+00,9.621596813633106482e-01,6.986423491534351493e-01,2.545464224220232996e+00,8.632408124838003571e-01,1.715020552393783371e+00,4.309212432957991723e-01
2.168159124196724363e+01,4.158871993960635116e+00,2.712850907588013172e+00,1.782886579107440417e+00,9.574865602876245774e-01,6.952491075227220652e-01,2.533101138607714020e+00,8.590481312559874461e-01,1.706690855313491850e+00,4.288282984520148666e-01
2.081121851886082297e+01,3.991920744763202133e+00,2.603947856817055762e+00,1.711315455497103288e+00,9.190497972514198866e-01,6.673394466404261038e-01,2.431413854159400589e+00,8.245630211486852934e-01,1.638178486887102769e+00,4.116136738562737318e-01
1.601102968793291481e+01,3.071168634280310616e+00,2.003337113756341381e+00,1.316593862034100448e+00,7.070673721072764373e-01,5.134149969356747167e-01,1.870598752654320851e+00,6.343743399368197977e-01,1.260326220875132019e+00,3.166733723976428716e-01
1.745076591953487011e+01,3.347332806248923376e+00,2.183480245272842346e+00,1.434983991989568830e+00,7.706479495996574336e-01,5.595820572274434745e-01,2.038805848105254004e+00,6.914182490049523011e-01,1.373656678640722495e+00,3.451491254697944822e-01
2.023955190752565514e+01,3.882266050454497908e+00,2.532419606510568855e+00,1.664307064014263648e+00,8.938042748536400017e-01,6.490081951701925922e-01,2.364624967314501003e+00,8.019129707585479494e-01,1.593179106215942387e+00,4.003069935723018724e-01
1.733713208434481601e+01,3.325536040067688770e+00,2.169262116654525840e+00,1.425639832816384622e+00,7.656297353563311647e-01,5.559382369183809569e-01,2.025529793128848954e+00,6.869159533626233438e-01,1.364711863418965443e+00,3.429016241841505441e-01
2.379574580248756988e+01,4.564400264211999847e+00,2.977378822272954917e+00,1.956734418504695983e+00,1.050850306309677462e+00,7.630422899954989457e-01,2.780101797585214474e+00,9.428132250691165783e-01,1.873108910837721242e+00,4.706430016596672705e-01
1.812021274259151227e+01,3.475743291106102362e+00,2.267242982114584748e+00,1.490032892364719697e+00,8.002115701268850412e-01,5.810487614499247888e-01,2.117018581238960362e+00,7.179424573024004719e-01,1.426352938720467867e+00,3.583897469182706907e-01
1.947893753312937548e+01,3.736368187858617240e+00,2.437249774514500977e+00,1.601761416655943515e+00,8.602145796639091291e-01,6.246180819600337664e-01,2.275760957458285549e+00,7.717766053211796429e-01,1.533306489731528721e+00,3.852632191412464491e-01
2.969445106056017636e+01,5.695865193360837075e+00,3.715438484701334865e+00,2.441787490549141015e+00,1.311344609733783750e+00,9.521921323869775300e-01,3.469258642153569383e+00,1.176526317075428540e+00,2.337432133694896219e+00,5.873102568744518193e-01
2.216473466262784342e+01,4.251546540714491229e+00,2.773302931270540395e+00,1.822615670522673481e+00,9.788227863427714226e-01,7.107417449528369291e-01,2.589547694366835184e+00,8.781907969402173997e-01,1.744722033405727624e+00,4.383841271122811967e-01
2.431277120429633598e+01,4.663573910636377384e+00,3.042070237902453123e+00,1.999249639811804036e+00,1.073682803612780567e+00,7.796213982889134142e-01,2.840506849013168189e+00,9.632983315485708076e-01,1.913807147207190917e+00,4.808689634370930110e-01
1.740722141281881008e+01,3.338980281406477957e+00,2.178031855749822387e+00,1.431403308461708157e+00,7.687249689710822231e-01,5.581857446093335673e-01,2.033718461376503583e+00,6.896929684799467664e-01,1.370229023789099276e+00,3.442878825603792881e-01
2.128899561461998147e+01,4.083565945557436905e+00,2.663728433500291981e+00,1.750603271706143049e+00,9.401490395947202927e-01,6.826600057135255861e-01,2.487233452073672968e+00,8.434930672273318608e-01,1.675787248675400631e+00,4.210633649203303630e-01
2.464615641222443188e+01,4.727522464456964890e+00,3.083784167189779879e+00,2.026664048941399177e+00,1.088405517108641529e+00,7.903118391189497549e-01,2.879456870733114737e+00,9.765074146210653838e-01,1.940049939044643068e+00,4.874628065664731724e-01
1.853896471709873239e+01,3.556066540435831147e+00,2.319638198933233308e+00,1.524467047450097423e+00,8.187041882751547872e-01,5.944766013764516410e-01,2.165942163072994919e+00,7.345338641389932421e-01,1.459315471661897012e+00,3.666720124908164347e-01
2.288268704084749317e+01,4.389261157942200064e+00,2.863134795506047325e+00,1.881653203574604083e+00,1.010528473688322659e+00,7.337638444210187183e-01,2.673427422862690417e+00,9.066368478761186456e-01,1.801236462848816888e+00,4.525841133257273441e-01
1.774609582655117990e+01,3.403981751686641299e+00,2.220432607179577467e+00,1.459269097347022592e+00,7.836900927552651330e-01,5.690522041362376937e-01,2.073309797348604544e+00,7.031195398325044144e-01,1.396903904639047456e+00,3.509902936799328410e-01
2.095916934574735535e+01,4.020300052515795919e+00,2.622459806909567259e+00,1.723481515666767994e+00,9.255834933600844971e-01,6.720836870055433288e-01,2.448699227906269371e+00,8.304249931753806546e-01,1.649824602730969536e+00,4.145399120940611581e-01
2.116822847517869732e+01,4.060400898840712536e+00,2.648617769334372873e+00,1.740672537854362822e+00,9.348158095910299448e-01,6.787874465006156210e-01,2.473123999727159461e+00,8.387081423435271965e-01,1.666280927381608379e+00,4.186747779232984912e-01
